P_ID;Date;PURQ1;PURQ2_R;PURQ3;PURQ4_R;BELQ1;BELQ2_R;BELQ3_R;BELQ4;BELQ5;BELQ6;COLQ1;COLQ2_R;COLQ3;COLQ4;COLQ5;GROWQ1;GROWQ2;GROWQ3;GROWQ4_R;GROWQ5;GROWQ6;ENGCQ1;ENGCQ2;ENGCQ3;ENGSQ1;ENGSQ2;ENGSQ3;ENGAQ1;ENGAQ2;ENGAQ3;ENGIDQ1;ENGIDQ2;ENGIDQ3;ENGIDQ4;PERFQ1;PERFQ2;PERFQ3;PERFQ4_R;PERFQ5;PERFQ6;PERFQ7;PERFQ8;PERFQ9;PERFQ10;PERFQ11_R;PERFQ12;PERFQ13;PERFQ14_R;PERFQ15_R;PERFQ16_R;PERFQ17_R;PERFQ18_R;RETQ1_R;RETQ2_R;RETQ3_R;Gender;Age;WFH_past_3_months;Position;Education;Income;WFH;int_mean;soc_mean;aff_mean
1;04.05.2021;4;5;4;3;5;5;5;4;4;4;5;5;4;4;5;4;4;4;5;4;3;4;4;5;4;5;4;4;4;4;3;3;4;4;5;5;5;1;5;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;Male;31 - 40 years;Every day ( 5 days a week or more);Independent Contractor (self-employed);Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;4.33333333333333;4.33333333333333;4
2;04.05.2021;5;4;5;5;5;5;5;5;5;4;5;4;3;4;5;4;4;4;5;5;5;5;5;5;5;4;4;5;5;5;4;4;5;5;5;5;5;4;5;4;4;4;4;5;5;5;4;2;4;4;2;2;5;5;5;Male;41 - 50 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$100.001 - $150.000 a year;WFH;5;4.33333333333333;5
3;04.05.2021;3;3;3;2;5;5;5;5;5;5;4;4;5;5;5;4;3;5;2;4;5;4;4;4;4;4;4;4;3;3;2;3;3;4;5;5;5;5;5;5;5;4;4;5;5;5;5;3;4;2;2;2;2;2;5;Female;21 - 30 years;Every day ( 5 days a week or more);People Manager;Master Degree  (e.g. MA, MSc, MBA);$75.001 - $100.000 a year;WFH;4;4;3.33333333333333
4;04.05.2021;5;5;5;5;5;4;5;5;5;4;5;5;5;4;5;5;4;4;4;4;2;5;5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;4;4;4;3;3;5;Male;31 - 40 years;Every day ( 5 days a week or more);Director;Master Degree  (e.g. MA, MSc, MBA);$75.001 - $100.000 a year;WFH;5;4.66666666666667;5
5;04.05.2021;2;4;2;2;5;5;5;5;3;3;3;4;4;3;3;2;2;2;4;3;3;4;4;4;3;5;4;3;3;3;2;2;1;5;3;4;4;4;4;5;5;5;5;5;4;4;4;4;5;4;4;5;1;1;1;Male;31 - 40 years;Every day ( 5 days a week or more);Director;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);More than $150.000 a year;WFH;4;4;3
6;04.05.2021;3;5;4;4;5;5;5;4;5;5;4;5;5;4;4;3;2;2;2;3;2;5;4;4;3;2;2;3;3;3;2;2;2;3;4;4;4;5;4;4;4;4;4;4;5;4;4;2;5;5;5;4;2;1;5;Male;31 - 40 years;Not at all (I can't work from home);People Manager;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$50.001 - $75.000 a year;Fulltime;4.33333333333333;2.33333333333333;3
7;04.05.2021;5;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;1;1;1;1;1;5;3;5;Male;31 - 40 years;Not at all (I can't work from home);People Manager;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;Fulltime;5;5;5
8;04.05.2021;5;3;4;2;5;4;2;5;5;5;5;4;5;5;5;4;4;3;4;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;3;5;5;5;5;5;4;5;5;2;5;5;3;5;3;1;3;Male;31 - 40 years;3 days a week;Employee;Master Degree  (e.g. MA, MSc, MBA);Less than $25.000 a year;Hybrid;5;5;5
9;04.05.2021;5;5;5;5;5;5;5;5;4;4;4;5;3;3;4;5;5;5;5;2;1;5;5;5;3;2;2;3;3;4;5;3;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;1;5;3;1;1;1;1;5;Female;41 - 50 years;Every day ( 5 days a week or more);People Manager;Master Degree  (e.g. MA, MSc, MBA);$75.001 - $100.000 a year;WFH;5;2.33333333333333;3.33333333333333
10;04.05.2021;5;4;5;2;3;1;1;3;3;4;4;2;3;4;4;2;1;1;4;2;2;4;4;3;2;2;2;2;3;1;1;1;4;5;4;4;1;5;1;2;1;1;2;1;5;1;2;5;5;3;4;1;1;1;3;Female;21 - 30 years;1 day a week;Director;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;Hybrid;3.66666666666667;2;2
11;04.05.2021;4;4;5;2;4;4;4;4;4;4;4;5;4;4;4;5;4;4;4;4;3;4;4;4;3;3;3;4;4;4;4;3;5;5;4;4;4;4;4;3;4;4;4;4;5;3;4;3;4;4;4;3;3;2;5;Male;21 - 30 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;4;3;4
12;04.05.2021;5;5;5;5;5;5;4;5;3;4;5;5;5;5;5;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;2;4;5;5;5;4;5;5;5;5;5;5;5;5;5;1;Male;41 - 50 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;5;5;5
13;04.05.2021;3;4;3;3;3;4;3;3;2;2;4;5;2;3;2;2;3;1;3;3;3;5;4;5;5;3;4;3;2;2;4;4;3;3;3;3;4;4;4;3;3;4;3;3;3;3;3;4;3;2;3;3;3;3;3;Male;41 - 50 years;Not at all (I can't work from home);People Manager;Master Degree  (e.g. MA, MSc, MBA);$75.001 - $100.000 a year;Fulltime;4.66666666666667;4;2.33333333333333
14;04.05.2021;1;2;4;2;3;1;4;1;2;2;5;5;4;3;2;1;1;2;4;2;1;3;3;2;2;2;4;3;2;2;1;1;1;3;1;4;4;4;1;3;1;2;2;3;3;2;2;4;3;5;5;1;1;1;1;Female;31 - 40 years;Every day ( 5 days a week or more);Independent Contractor (self-employed);Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;2.66666666666667;2.66666666666667;2.33333333333333
15;04.05.2021;3;4;3;5;4;4;2;4;4;3;4;5;4;4;4;3;2;4;5;4;2;4;4;5;4;5;5;5;5;5;4;4;4;4;4;3;4;4;3;4;4;5;5;5;5;4;4;5;4;5;5;5;5;3;4;Male;41 - 50 years;Every day ( 5 days a week or more);Independent Contractor (self-employed);Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;WFH;4.33333333333333;4.66666666666667;5
16;04.05.2021;4;4;4;4;5;4;4;4;5;4;4;5;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;5;5;5;4;4;4;4;4;4;5;4;4;4;3;4;4;3;4;3;3;5;4;4;2;2;4;4;1;Female;21 - 30 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;3.66666666666667;3.66666666666667;5
17;04.05.2021;3;5;1;1;5;2;2;3;3;2;5;5;4;4;3;5;5;2;1;4;3;5;5;5;3;2;1;1;3;3;1;1;4;4;1;5;1;3;5;5;2;5;5;5;3;2;4;3;5;3;2;1;1;1;3;Male;21 - 30 years;Not at all (I can't work from home);Employee;Master Degree  (e.g. MA, MSc, MBA);$75.001 - $100.000 a year;Fulltime;5;2;2.33333333333333
18;04.05.2021;5;5;5;1;5;4;2;5;5;4;4;4;4;4;4;2;4;3;4;5;4;3;3;4;2;2;2;5;3;3;5;5;5;5;2;4;3;4;3;4;5;2;3;5;5;5;3;2;3;2;2;2;4;5;5;Male;31 - 40 years;3 days a week;CEO & President;Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;Hybrid;3.33333333333333;2;3.66666666666667
19;04.05.2021;3;4;2;2;4;4;2;3;4;4;4;3;4;4;4;3;3;2;2;3;2;4;4;4;3;3;4;4;4;4;3;3;4;4;3;4;4;2;3;2;4;5;3;3;4;2;4;4;4;4;4;2;4;4;4;Female;21 - 30 years;3 days a week;Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);NA;Hybrid;4;3.33333333333333;4
20;04.05.2021;5;5;5;5;4;5;3;5;5;5;4;5;4;3;4;5;5;5;5;3;3;5;5;5;4;4;4;5;5;5;5;5;5;5;2;5;5;4;4;5;5;5;5;5;5;4;5;5;5;5;2;4;5;5;5;Female;51 - 60 years;Every day ( 5 days a week or more);CEO & President;High School;Less than $25.000 a year;WFH;5;4;5
21;04.05.2021;5;5;4;3;3;3;4;4;4;2;5;5;4;4;4;2;2;2;4;4;4;4;4;4;3;4;2;2;2;2;3;1;3;4;4;4;4;4;4;4;4;4;4;4;5;4;5;1;4;5;5;2;2;4;1;Male;41 - 50 years;Every day ( 5 days a week or more);Employee;High School;Less than $25.000 a year;WFH;4;3;2
22;04.05.2021;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Male;41 - 50 years;Not at all (I can't work from home);Director;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);More than $150.000 a year;Fulltime;5;5;5
23;04.05.2021;5;5;5;5;4;4;2;3;3;1;1;5;4;1;5;1;1;1;1;4;2;5;5;5;1;4;1;5;5;5;2;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;3;5;1;1;5;Male;31 - 40 years;Every day ( 5 days a week or more);Director;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$75.001 - $100.000 a year;WFH;5;2;5
